MIN;AVG;MAX
35;59;73
42;61;85
45;60;76
51;60;72
44;61;86
51;60;72
52;60;73
50;61;77
50;60;74
51;60;72
51;60;73
52;60;68
50;60;70
51;60;69
46;60;81
50;60;83
48;60;75
