MIN;AVG;MAX
17;62;207
52;60;71
52;60;69
52;60;70
51;61;86
54;60;70
49;61;81
50;61;79
51;60;77
52;60;72
48;60;78
53;60;71
50;61;87
42;61;92
43;61;138
49;60;77
44;61;77
51;60;75
48;60;73
49;61;74
48;61;80
48;61;80
52;60;73
51;60;84
51;60;82
51;60;73
52;61;78
51;60;71
48;61;80
27;60;82
48;60;75
52;61;75
52;60;75
45;61;92
53;60;79
52;60;71
51;60;74
52;61;74
51;60;72
45;61;81
52;60;72
52;60;74
51;60;80
51;60;72
47;61;77
51;60;74
47;61;83
44;61;90
51;60;78
49;60;74
52;60;75
26;62;144
48;60;68
49;61;74
38;61;94
48;61;77
52;60;67
46;60;85
50;61;80
34;61;137
50;60;89
52;60;75
45;61;87
49;60;72
34;60;88
49;60;75
54;60;70
53;60;70
53;60;75
53;60;70
55;60;71
54;60;71
33;60;83
39;60;76
52;60;70
52;60;70
55;60;69
55;60;71
53;60;71
52;60;73
55;60;69
48;61;81
49;61;75
53;60;70
52;60;71
53;60;70
50;60;71
52;60;70
52;60;71
55;60;71
55;60;69
45;61;98
52;60;71
54;60;70
54;60;70
51;60;69
48;60;78
41;62;117
51;60;75
50;61;96
47;61;86
48;60;78
45;61;87
50;61;77
39;60;79
53;60;70
52;60;69
52;60;72
50;60;77
53;60;70
52;60;73
47;61;81
54;60;77
47;61;94
52;60;71
53;60;71
51;60;71
49;60;69
51;60;81
51;60;69
52;60;71
51;60;71
52;60;68
52;60;73
47;61;86
51;60;70
53;60;71
53;60;71
52;60;72
52;60;72
51;61;70
50;60;71
50;60;77
51;60;69
50;60;72
48;60;70
49;60;78
49;61;75
44;61;96
50;61;92
47;61;84
48;60;82
40;61;102
51;61;74
50;61;78
53;60;71
47;60;73
51;60;86
53;60;70
53;60;65
50;60;71
53;60;70
53;60;69
52;60;71
52;60;71
51;60;70
51;60;85
52;60;70
53;60;69
49;60;71
52;60;70
47;60;86
52;60;70
48;61;74
53;60;72
54;60;70
49;60;72
49;60;76
51;60;67
52;60;65
53;60;70
51;60;73
53;60;64
52;60;65
