MIN;AVG;MAX
53;60;71
51;60;69
53;60;75
44;60;80
48;61;97
48;61;88
46;61;84
46;61;103
51;60;73
52;60;72
50;60;88
50;60;68
27;62;216
52;60;71
53;60;70
51;60;70
51;60;71
52;61;72
52;60;76
53;60;70
52;60;71
52;60;70
54;60;67
53;60;67
51;60;72
52;60;71
49;60;88
51;60;87
53;60;66
52;60;72
52;60;72
52;60;71
52;60;71
52;60;71
47;60;96
52;60;74
52;60;71
54;60;70
51;60;71
52;60;71
53;60;67
52;60;67
48;61;76
51;60;72
45;61;93
51;60;72
51;60;85
53;60;69
53;60;71
51;60;70
52;60;72
49;60;71
52;60;73
50;60;85
53;60;71
51;60;71
51;60;80
51;60;72
52;60;70
53;60;66
53;60;69
53;60;70
52;60;71
50;60;75
52;60;70
52;60;70
48;60;73
49;60;87
52;60;71
52;60;74
52;60;70
53;60;69
52;60;71
50;60;83
53;60;75
54;60;69
49;60;71
53;60;72
53;60;71
40;61;81
49;61;72
46;61;90
46;60;78
51;60;70
51;60;72
51;60;72
50;60;72
52;60;72
50;60;86
52;60;70
48;60;71
51;60;71
54;60;69
52;60;71
51;60;72
54;60;70
48;60;72
52;60;71
53;60;71
53;60;70
53;60;69
51;60;71
50;60;68
49;60;80
52;60;78
50;60;70
48;60;85
53;60;72
53;60;72
53;60;70
52;60;72
52;60;71
52;60;71
52;60;70
51;60;73
52;60;71
49;60;74
52;60;71
51;60;71
52;60;71
49;60;71
53;60;70
52;60;70
51;60;68
51;60;72
53;60;72
52;60;71
49;61;82
48;60;76
51;60;72
52;60;72
53;60;69
52;60;69
52;60;72
52;60;72
51;60;75
53;60;71
53;60;73
52;60;72
52;60;69
51;60;71
50;60;87
52;60;69
54;60;70
51;60;68
51;60;70
53;60;71
51;60;73
51;60;70
51;60;71
55;61;85
45;60;80
46;61;83
54;60;70
53;60;69
53;60;68
54;60;69
47;60;77
53;60;72
49;60;72
53;60;71
51;60;71
50;60;70
48;60;83
52;60;70
52;60;73
54;60;69
52;60;70
53;60;70
53;60;70
52;60;70
48;60;71
49;60;77
54;60;69
52;60;76
51;60;76
53;60;73
53;60;72
50;60;70
53;60;71
53;60;71
52;60;68
52;60;69
54;60;67
52;60;69
52;60;71
52;60;69
52;60;70
49;60;84
52;60;69
52;60;71
53;60;70
52;60;70
52;60;70
53;60;64
53;60;70
49;60;83
52;60;70
51;60;84
53;60;71
52;60;72
48;60;71
53;60;66
52;60;71
50;60;80
51;60;71
52;60;71
53;60;65
53;60;70
52;60;72
53;60;76
48;60;84
52;60;71
53;60;68
52;60;70
52;60;71
50;60;82
50;61;79
52;60;71
55;60;69
52;60;73
51;60;78
51;60;77
49;62;92
52;60;71
51;60;78
51;60;72
53;60;75
51;60;72
52;60;71
51;60;70
52;60;71
53;60;70
52;60;71
52;60;70
52;60;72
53;60;68
46;61;90
52;60;70
45;61;95
51;61;78
50;60;71
46;61;83
49;61;72
49;61;78
51;60;74
48;60;71
52;60;73
53;60;68
48;61;80
50;60;78
50;61;78
49;61;80
50;60;74
49;61;78
52;60;70
49;60;81
50;60;69
51;60;77
50;60;71
50;60;70
52;60;70
53;60;69
51;61;76
52;60;72
53;60;69
52;60;70
53;60;73
54;60;71
50;60;72
49;61;77
50;60;74
55;60;70
47;60;78
53;61;78
49;60;72
51;60;69
51;60;75
53;60;72
49;60;72
52;60;71
48;60;69
51;60;70
51;60;70
51;60;70
52;60;70
49;60;83
48;60;85
52;60;70
49;60;76
50;60;78
52;60;71
50;61;80
47;61;80
53;60;69
53;60;68
53;60;76
53;60;72
54;60;71
53;60;69
44;60;88
53;60;69
49;60;71
50;60;73
52;60;72
53;60;72
51;60;70
49;60;83
48;60;83
52;60;71
54;60;69
51;60;75
47;60;84
52;60;75
53;60;71
51;60;71
47;61;113
51;60;74
53;60;70
52;60;70
53;60;72
52;60;70
52;60;70
50;60;81
50;60;68
52;60;71
50;60;71
51;60;74
37;62;180
51;60;72
52;60;70
52;60;72
49;60;71
51;60;69
53;60;69
50;60;85
51;60;69
53;60;72
50;60;71
51;60;71
52;60;71
52;60;68
52;60;70
52;60;70
52;60;70
50;60;72
52;60;70
52;60;72
53;60;70
52;60;71
52;60;70
52;60;71
52;60;73
49;60;90
50;60;72
48;60;89
50;60;87
52;60;71
46;60;74
47;60;79
52;60;75
51;60;72
52;60;71
52;60;71
52;60;69
51;60;87
52;60;73
51;60;67
52;60;72
52;60;72
50;60;69
52;60;71
50;60;72
53;60;71
52;60;70
52;60;69
52;60;69
53;60;80
52;60;71
49;60;83
49;61;83
44;61;99
48;60;81
51;60;72
44;62;89
51;60;71
51;60;76
52;60;70
53;60;70
52;60;70
52;60;70
52;60;63
53;60;68
51;60;71
53;60;69
52;60;70
52;60;70
50;60;87
50;60;70
49;60;87
52;60;69
53;60;70
45;61;79
52;60;69
48;60;74
52;60;70
51;60;72
52;60;70
52;60;68
50;60;71
53;60;69
52;60;70
48;61;98
52;60;72
52;60;73
40;61;95
43;61;81
54;60;68
53;60;70
55;60;71
53;60;69
52;60;73
52;60;71
52;60;71
53;60;68
53;60;63
52;60;71
52;60;71
50;60;80
53;60;74
53;60;69
53;60;70
52;60;70
53;60;70
53;60;71
51;60;69
50;60;81
51;60;75
50;61;79
52;60;70
50;60;77
49;60;73
49;61;83
41;62;110
52;60;69
49;61;81
51;60;81
48;60;72
50;61;82
52;60;70
52;60;71
49;60;72
57;60;71
52;60;70
52;60;69
51;60;69
52;60;68
52;60;69
52;60;72
53;60;67
49;60;72
52;60;68
50;60;88
52;60;71
52;60;70
48;61;85
50;60;77
44;60;86
51;60;72
28;60;114
52;60;71
50;60;84
52;60;70
53;60;69
51;60;69
51;60;69
52;60;75
53;60;69
52;60;67
46;60;71
53;60;70
53;60;69
49;60;77
52;60;65
53;60;70
52;60;73
52;60;79
51;60;71
53;60;67
51;60;72
52;60;72
52;60;74
49;60;83
51;60;70
49;60;76
42;61;90
54;60;69
54;60;69
54;60;70
50;60;71
50;60;72
53;60;75
50;60;76
53;60;70
51;60;70
52;60;69
51;60;71
52;60;68
48;60;71
53;60;76
53;60;70
52;60;71
53;60;69
52;60;71
52;60;71
53;60;71
51;60;70
50;60;72
53;60;69
52;60;69
53;60;71
50;60;72
50;60;70
50;60;70
52;60;71
52;60;70
52;60;72
52;60;71
51;60;71
52;60;70
52;60;80
52;60;66
53;60;70
51;60;70
52;60;66
49;60;87
52;60;84
52;60;72
53;60;70
52;60;71
52;60;72
52;60;71
48;60;72
51;60;76
53;60;70
51;60;70
49;60;84
53;60;68
51;60;71
51;60;70
52;60;67
51;60;72
52;60;71
52;60;71
52;60;71
52;60;66
52;60;77
51;60;79
52;60;69
52;60;72
42;61;79
51;60;69
46;60;86
53;60;69
53;60;69
53;60;79
51;61;74
47;60;86
53;60;71
53;60;71
52;60;70
52;60;69
47;61;94
54;60;70
48;60;86
52;60;69
52;60;71
54;60;69
54;60;72
54;60;70
51;60;72
51;60;70
52;60;71
53;60;71
56;60;70
49;60;69
53;60;71
55;60;72
50;60;71
52;60;69
52;60;72
54;60;69
53;60;71
53;60;83
52;60;69
52;60;70
52;60;70
52;60;69
52;60;72
51;60;86
50;60;83
52;60;69
51;60;72
50;60;73
52;60;72
53;60;70
45;60;86
52;60;70
52;60;69
52;60;70
52;60;65
45;60;87
52;60;65
50;60;72
50;60;78
52;61;74
51;60;71
51;60;75
52;60;78
46;60;70
52;61;85
51;60;73
52;60;66
52;60;74
52;60;70
51;60;71
50;60;72
50;60;68
52;60;73
53;60;78
52;60;71
49;60;71
51;60;72
53;60;70
51;60;71
53;60;71
48;60;86
53;60;70
52;60;73
53;60;70
52;60;69
52;60;72
53;60;72
54;60;68
52;60;71
53;60;68
50;60;72
52;60;68
54;60;67
53;60;71
52;60;65
50;60;88
52;60;72
51;60;72
48;60;86
52;60;71
53;60;70
52;60;71
51;60;72
50;60;86
52;60;71
51;60;76
48;60;71
52;60;70
50;60;69
53;60;67
51;60;79
49;60;87
51;60;70
52;60;74
47;60;84
53;60;67
53;60;65
52;60;71
53;60;74
52;60;64
45;60;91
49;60;73
50;60;83
52;60;69
49;60;88
50;60;72
52;60;65
51;60;69
53;60;70
51;60;65
51;60;71
52;60;71
52;60;63
52;60;70
52;60;70
53;60;69
51;60;71
53;60;66
52;60;69
48;60;71
44;61;102
53;60;70
52;60;72
51;60;70
52;60;72
52;60;71
51;60;67
52;60;71
53;60;67
48;60;83
50;60;72
49;60;84
52;60;71
52;60;71
53;60;66
53;60;70
49;60;74
53;60;73
54;60;71
54;60;70
54;60;71
50;60;71
52;60;69
53;60;69
51;60;71
50;60;73
52;60;64
52;60;71
52;60;70
49;60;82
51;60;70
52;60;70
52;60;70
53;60;71
51;60;70
52;60;71
51;60;87
52;60;69
51;60;70
53;60;67
53;60;71
51;60;72
52;60;68
52;60;72
53;60;72
48;60;82
51;60;71
55;60;71
54;60;70
48;61;85
45;61;83
55;60;69
53;60;68
54;60;69
54;60;71
51;60;86
46;61;75
51;60;72
51;60;81
51;60;84
53;60;69
50;60;71
53;60;70
52;60;70
49;60;72
49;60;71
52;60;70
54;60;70
53;60;73
54;60;69
53;60;68
53;60;70
44;62;112
51;60;73
52;60;71
53;60;71
53;60;70
47;61;81
54;60;69
50;60;70
50;60;86
52;60;74
49;61;75
51;60;75
50;60;72
50;60;78
48;60;87
54;60;70
51;60;75
54;60;70
49;60;80
54;60;70
44;60;81
44;61;109
37;60;78
48;60;74
52;60;70
53;60;80
52;60;70
51;60;71
49;60;83
49;61;75
53;60;80
46;60;72
46;61;91
45;61;92
51;61;105
52;60;66
53;60;70
52;60;68
53;60;70
52;60;82
50;60;72
53;60;67
53;60;70
52;60;71
45;60;86
50;60;85
51;60;71
52;60;66
52;60;72
52;60;67
46;60;70
53;61;88
50;60;70
53;60;70
53;60;70
50;60;70
52;60;70
51;60;72
52;60;72
52;60;72
50;60;70
53;60;71
50;60;70
52;60;70
52;60;69
52;60;67
52;60;72
53;60;69
49;60;87
52;60;70
52;60;70
52;60;70
52;60;64
48;61;78
50;60;91
53;60;68
50;60;79
53;60;69
52;60;71
53;60;69
52;60;72
51;60;69
53;60;72
51;60;73
52;60;71
53;60;70
52;60;71
49;60;85
50;60;71
51;60;71
51;60;71
53;60;72
52;60;72
49;60;72
53;60;71
51;60;71
52;60;65
53;60;71
52;60;75
53;60;70
52;60;75
52;60;70
51;61;76
52;60;70
42;60;91
54;60;71
45;62;117
52;60;83
53;60;71
53;60;70
53;60;70
51;60;71
52;60;71
51;60;71
53;60;71
52;60;68
53;60;70
53;60;72
53;60;70
50;60;86
52;60;71
51;60;71
53;60;70
53;60;69
50;60;71
52;60;69
52;60;70
49;60;70
51;60;70
53;60;70
52;60;78
52;60;69
50;60;85
53;60;71
53;60;70
45;61;85
48;61;82
52;60;66
53;60;70
52;60;71
52;60;71
51;60;70
50;60;74
52;60;72
52;60;75
46;61;95
52;60;76
51;60;73
51;60;75
50;60;69
54;60;71
47;60;85
54;60;71
52;60;76
51;60;70
50;60;72
50;61;76
52;60;74
53;60;70
53;60;73
51;60;84
49;60;78
51;60;73
53;60;70
52;60;71
51;60;78
50;60;69
54;60;73
55;60;71
52;60;72
47;60;82
52;60;72
50;60;71
48;60;73
53;60;71
53;60;69
53;60;70
54;60;69
47;60;80
55;60;69
53;60;71
50;60;76
53;60;77
52;60;70
51;60;69
53;60;74
52;60;75
49;61;81
51;60;74
42;61;87
47;61;133
51;60;70
50;60;76
49;61;72
48;60;79
46;61;91
50;60;70
50;61;76
51;60;80
52;60;73
46;61;79
48;61;79
50;60;78
50;60;83
51;60;72
52;60;68
52;60;71
51;60;75
50;60;73
53;60;67
51;60;72
51;60;66
52;60;74
51;60;71
53;60;66
52;60;72
52;60;71
45;60;87
52;60;71
48;60;83
53;60;70
51;60;70
49;60;85
52;60;71
53;60;70
50;60;70
52;60;71
53;60;70
52;60;70
53;60;70
53;60;70
53;60;72
52;60;70
51;60;70
52;60;73
52;60;69
52;60;69
51;60;71
52;60;71
50;60;71
49;60;72
44;61;107
51;60;81
50;60;71
52;61;81
52;60;67
52;60;80
53;60;67
53;60;70
53;60;69
50;60;80
52;60;70
53;60;70
50;60;71
52;60;63
48;60;89
51;60;70
52;60;73
50;60;86
53;60;70
49;60;71
52;60;73
52;60;69
53;60;68
51;60;71
51;60;71
52;60;72
52;60;70
51;60;86
52;60;70
53;60;71
52;60;72
49;60;71
53;60;71
52;60;75
53;60;70
52;60;71
51;60;72
52;60;72
52;60;69
52;60;71
45;60;84
52;60;70
51;60;70
52;60;71
52;60;69
54;60;71
53;60;71
49;60;70
54;60;82
51;60;80
51;60;72
52;60;72
51;60;74
52;60;70
53;60;71
54;60;66
52;60;66
54;60;69
51;60;71
54;60;71
54;60;70
54;60;72
52;60;70
53;60;70
52;60;69
53;60;71
52;60;71
52;60;71
53;60;71
50;60;71
52;60;71
48;60;79
52;60;70
51;60;70
53;60;73
47;60;72
43;60;88
45;61;94
45;61;97
50;60;80
46;61;92
49;61;80
50;61;85
42;61;92
44;61;84
45;62;98
36;64;139
50;60;74
50;60;74
54;60;69
46;61;97
49;61;79
35;62;180
49;60;74
50;61;80
50;60;70
53;60;70
46;61;85
46;62;145
50;61;77
52;60;70
53;61;82
50;61;106
53;60;66
51;60;71
50;60;76
53;60;69
53;60;68
53;60;64
52;60;72
48;60;76
50;60;83
53;60;71
56;60;71
56;60;70
49;60;82
54;60;71
50;60;71
52;60;73
53;60;65
52;60;71
52;60;72
53;60;64
53;60;72
51;60;70
52;60;71
30;61;128
25;60;88
48;60;80
54;60;71
55;60;75
52;60;75
54;60;65
46;60;89
50;60;83
53;60;64
52;60;67
49;60;71
52;60;70
53;60;69
47;60;75
48;60;73
46;61;82
46;60;75
53;60;66
54;60;69
53;60;74
52;60;69
52;60;75
44;61;109
52;60;69
39;64;125
49;61;81
46;61;85
49;60;72
42;61;124
51;60;70
41;61;93
33;63;135
47;61;96
47;61;102
42;60;80
52;60;69
46;60;73
50;60;71
52;61;71
49;60;70
45;61;109
42;62;116
44;61;105
53;60;80
51;61;80
54;60;71
49;60;73
47;60;82
36;63;116
50;60;70
46;61;83
28;62;125
45;61;119
47;61;80
34;61;100
26;61;94
48;61;99
51;60;70
47;61;116
42;61;96
29;61;106
46;61;100
52;60;71
15;60;109
53;60;76
47;61;87
31;64;108
35;64;103
19;61;121
13;55;102
15;62;145
19;60;145
38;63;117
42;62;117
47;61;87
14;62;188
42;61;98
47;61;98
46;61;85
48;61;90
33;62;127
51;60;69
49;60;70
50;61;79
54;60;73
48;60;74
53;60;71
49;60;69
52;60;73
49;61;78
53;60;69
52;60;71
48;60;77
46;61;78
49;60;77
53;60;70
51;60;71
53;60;69
53;60;74
43;61;101
51;60;72
47;61;108
32;62;102
36;62;178
38;61;128
46;61;84
46;61;103
44;61;86
36;61;121
47;61;81
50;61;96
51;61;76
46;62;180
51;60;71
50;60;70
52;60;71
53;60;69
51;60;73
51;60;71
54;60;70
53;60;69
50;60;70
53;60;69
50;60;71
52;60;71
53;60;70
51;60;73
52;60;71
48;60;81
48;61;90
30;62;172
39;62;166
43;61;88
49;60;73
44;61;71
49;61;78
51;60;71
53;60;70
44;61;102
51;60;72
53;60;72
48;60;83
43;61;92
50;61;75
51;60;74
48;61;85
49;60;75
52;60;68
48;60;79
44;61;81
48;60;74
48;61;81
49;61;88
52;60;72
50;60;79
53;60;70
50;60;72
51;60;74
50;60;73
49;61;87
48;61;79
52;60;75
50;60;70
53;60;71
49;60;83
53;60;69
51;60;71
52;60;71
52;60;72
52;60;70
52;60;71
55;60;70
52;60;70
52;60;70
49;60;72
49;60;78
49;60;82
45;61;98
52;60;70
52;60;70
51;60;70
52;60;69
53;60;70
52;60;81
49;61;79
50;60;71
51;60;73
52;60;76
52;60;71
44;61;90
49;62;123
42;61;81
49;61;78
49;60;76
50;61;80
53;60;70
52;60;69
53;60;68
50;60;74
53;60;71
52;60;74
44;60;82
49;61;77
52;60;71
48;60;82
53;60;70
51;60;70
51;60;69
50;60;85
52;60;70
52;60;70
51;60;76
52;60;74
43;61;95
41;60;82
49;61;86
53;60;74
54;60;71
52;60;71
51;60;73
45;61;82
53;60;71
53;60;70
49;60;84
44;61;81
47;60;84
52;60;74
52;60;72
53;60;73
51;60;76
52;60;71
45;60;83
52;60;70
52;60;73
40;61;86
55;60;69
52;60;70
54;60;70
52;60;71
53;60;70
52;60;68
52;60;74
52;61;72
53;60;74
46;60;73
52;60;72
52;60;70
51;60;72
53;60;70
49;60;79
53;60;71
52;60;73
53;60;72
52;60;71
52;60;71
52;60;72
50;60;72
48;60;83
53;60;71
52;60;72
47;60;77
48;60;77
51;60;70
52;60;70
51;60;74
52;60;72
48;61;79
46;61;83
51;60;74
53;60;72
52;60;71
52;60;71
52;60;72
52;60;70
45;61;77
50;60;87
50;60;75
51;60;69
53;60;70
45;61;93
51;60;86
54;60;71
53;60;70
53;60;70
45;60;88
53;60;71
52;60;71
53;60;71
48;60;70
50;60;70
54;60;69
51;60;70
52;60;72
50;60;71
51;60;77
55;60;70
54;60;71
53;60;72
54;60;70
52;60;71
51;60;76
53;60;70
52;60;72
47;61;91
54;60;70
51;60;72
48;60;70
45;62;107
42;61;105
46;62;98
46;60;84
50;61;90
46;61;83
47;61;86
37;63;107
47;60;72
45;61;90
13;62;100
23;62;115
27;63;112
15;62;104
33;63;130
45;62;116
48;62;82
42;61;84
49;61;74
42;61;77
42;62;127
53;60;68
52;60;69
54;60;69
52;60;70
52;60;70
49;60;87
44;60;71
54;60;83
51;60;69
50;60;79
47;60;84
54;60;69
52;60;74
32;60;74
34;61;114
50;60;74
52;60;68
52;60;68
50;60;83
53;60;72
44;61;85
52;60;74
27;61;110
24;62;164
51;60;74
51;60;71
52;60;73
52;60;70
53;60;77
52;60;72
51;60;70
45;61;94
53;60;66
51;60;76
45;61;86
52;60;69
53;60;72
52;60;71
53;60;70
52;60;69
46;61;90
53;60;67
52;60;70
49;60;71
53;60;70
45;60;79
53;60;67
50;60;71
50;60;72
51;60;84
53;60;71
46;60;87
52;60;70
51;60;70
52;60;71
49;60;86
53;60;66
53;60;70
49;60;86
52;60;71
53;60;67
52;60;68
52;60;70
45;60;81
52;60;70
51;60;70
53;60;66
52;60;71
52;60;72
52;60;72
51;61;84
53;60;70
52;60;68
50;60;72
50;60;78
51;60;83
52;60;71
53;60;70
51;60;71
48;60;83
53;60;71
52;60;73
46;60;82
49;60;71
53;60;67
52;60;70
50;60;88
47;60;86
52;60;70
50;60;76
53;60;69
52;60;71
49;60;70
44;61;85
54;60;66
47;60;70
52;60;76
53;60;72
49;60;74
52;60;68
52;60;70
50;60;68
54;60;70
51;60;74
53;60;65
52;60;70
51;60;72
53;60;69
52;60;72
53;60;69
52;60;71
49;60;72
52;60;69
51;60;71
53;60;70
53;60;68
52;60;71
52;60;71
50;60;85
53;60;67
52;60;73
49;61;84
43;60;84
46;60;88
54;60;68
53;60;71
53;60;71
46;60;72
51;60;75
51;60;72
52;60;69
51;60;70
53;60;70
53;60;66
51;60;74
53;60;68
50;60;72
52;60;73
50;60;71
53;60;69
52;60;71
52;60;70
53;60;71
52;60;69
53;60;70
49;60;69
52;60;72
49;60;71
50;60;87
53;60;70
52;60;73
43;60;89
53;61;88
52;60;70
53;60;65
53;60;73
49;60;73
52;60;70
53;60;70
53;60;69
52;60;71
53;60;67
52;60;70
51;60;72
53;60;75
50;60;70
52;60;71
52;60;71
54;60;64
52;60;71
53;60;69
52;60;69
52;60;72
52;60;74
53;60;70
50;60;71
53;60;69
53;60;68
52;60;82
52;60;70
53;60;68
43;60;81
52;60;70
52;60;69
53;60;69
53;60;73
53;60;70
53;60;69
53;60;70
52;60;71
52;60;71
50;61;70
43;61;103
48;61;74
47;60;74
50;60;85
49;60;74
53;60;70
42;62;160
49;60;71
52;60;71
45;61;95
48;60;74
51;60;69
53;60;67
51;60;80
48;60;72
53;60;73
52;60;72
51;60;72
49;61;81
49;60;80
48;61;86
33;63;187
52;60;68
53;60;72
45;61;87
48;61;82
48;61;80
52;60;70
49;60;70
53;60;69
51;60;69
52;60;71
53;60;75
51;61;76
50;61;75
53;60;77
48;61;73
51;60;71
47;61;84
51;60;70
51;61;74
50;60;74
48;61;91
53;60;77
49;61;74
51;60;75
52;60;73
51;60;73
49;60;81
48;60;79
51;60;69
52;60;71
51;60;71
52;60;79
52;60;73
50;60;69
51;60;71
52;60;66
50;60;79
52;60;72
50;60;86
45;61;115
46;60;86
51;60;70
52;60;68
52;60;74
52;60;68
52;60;67
53;60;69
52;60;72
51;60;76
52;60;70
50;60;71
51;60;72
48;60;83
45;60;75
53;61;77
45;60;85
52;60;70
45;61;84
52;60;73
52;60;72
42;61;79
52;60;69
53;60;69
52;60;69
53;60;72
32;63;258
49;60;70
52;60;72
44;61;85
47;60;71
51;60;75
52;60;69
53;60;75
51;61;80
39;61;152
48;60;73
52;60;81
51;60;71
49;60;73
51;60;76
53;60;73
51;61;70
52;60;72
52;60;71
52;60;79
35;64;225
50;61;74
49;60;72
52;60;70
45;61;107
48;60;77
52;60;78
48;60;80
51;60;72
48;60;70
54;60;74
48;61;86
50;60;77
52;60;65
38;62;162
47;61;106
37;63;197
53;60;70
50;60;86
50;60;74
50;60;72
48;60;81
53;60;70
52;60;71
52;60;73
52;60;73
56;60;71
52;60;72
52;60;73
50;60;74
50;60;81
53;60;69
48;60;74
53;60;70
52;60;67
39;60;74
46;62;155
53;60;71
50;60;74
47;60;77
50;60;84
53;60;70
51;60;78
53;60;73
53;60;70
49;60;80
51;60;68
50;60;74
51;60;72
51;60;76
54;60;67
53;60;70
52;60;70
49;60;86
50;60;87
52;60;70
48;60;88
50;60;75
52;60;69
53;60;72
52;60;69
38;60;73
48;63;198
50;60;70
48;61;81
35;63;236
42;63;119
39;62;107
50;60;74
47;61;90
47;61;79
50;61;97
41;61;92
45;62;114
45;61;88
46;61;83
47;61;74
51;60;73
50;60;71
53;60;71
37;60;72
43;61;98
52;60;71
50;60;71
52;60;70
48;61;81
49;60;73
50;60;78
53;60;77
52;60;76
51;60;72
47;60;74
52;60;73
50;60;75
45;62;91
47;62;74
39;63;132
49;61;78
50;61;75
47;61;78
47;62;99
38;62;124
39;62;111
53;60;72
47;60;80
53;60;76
52;60;66
53;60;74
44;61;75
46;61;85
47;61;101
48;60;82
45;61;97
52;60;72
53;60;70
52;60;72
46;61;89
53;60;70
51;60;80
50;60;83
51;60;72
45;61;83
48;60;82
50;60;72
49;60;71
49;61;77
51;60;74
51;60;83
51;60;84
46;61;81
47;60;72
51;61;79
51;60;71
52;60;70
52;60;71
50;60;78
51;61;74
51;60;70
46;61;90
51;60;75
47;61;82
35;62;111
43;61;90
43;61;84
45;61;82
53;60;74
51;60;81
52;60;71
53;60;71
50;60;70
49;60;71
50;61;85
47;61;87
48;61;77
52;60;73
49;60;70
49;61;73
52;60;70
47;60;87
52;60;75
52;60;78
49;61;76
54;60;65
52;60;71
49;60;91
52;61;72
52;60;72
47;61;82
31;63;110
39;63;145
41;62;120
50;60;66
48;61;82
26;64;136
35;64;123
40;64;117
50;61;80
46;61;83
33;61;107
40;62;80
42;62;95
51;61;77
48;60;82
53;60;70
49;60;75
53;60;73
53;60;67
52;60;68
51;60;72
52;60;76
53;60;71
50;60;74
50;60;72
51;60;75
48;61;78
46;61;103
38;62;115
42;62;105
41;62;140
49;61;99
43;62;82
44;62;96
49;60;83
47;61;80
50;61;81
46;61;90
38;63;127
35;62;119
53;60;71
51;60;73
53;60;70
41;61;110
53;60;71
51;60;72
52;61;72
52;60;71
51;60;72
53;61;72
50;60;84
52;60;71
52;60;70
47;60;75
51;60;71
52;60;68
49;61;89
49;60;87
52;60;70
43;61;83
52;60;69
53;60;69
50;60;71
53;60;69
52;60;70
53;60;70
51;60;71
53;60;68
49;60;70
53;60;70
54;60;69
48;60;69
53;60;68
50;60;74
53;60;72
53;60;70
51;60;71
52;60;68
51;60;69
50;60;68
44;60;86
52;60;72
50;60;81
51;60;71
53;60;70
50;60;71
52;60;71
50;60;85
56;60;68
51;60;81
53;60;67
52;60;70
53;60;68
51;60;79
51;60;73
53;60;67
53;60;74
50;60;75
52;60;68
51;60;70
53;60;81
48;60;76
52;60;70
50;60;70
50;60;85
51;60;71
49;60;72
51;60;70
51;60;72
49;60;71
51;60;71
51;60;69
53;60;70
52;60;71
52;60;71
52;60;71
51;60;70
53;60;71
45;61;83
51;60;72
51;60;84
52;60;68
48;60;74
52;60;72
50;60;71
50;60;88
54;60;68
53;60;69
46;60;98
53;60;70
54;60;69
49;60;73
52;60;70
50;60;71
51;60;71
53;60;71
54;60;68
53;60;78
52;60;65
53;60;65
52;60;65
52;60;71
52;60;68
50;60;70
51;60;70
52;60;69
51;60;69
49;60;82
52;60;80
51;60;77
49;60;72
52;60;69
50;60;72
54;60;72
48;60;76
54;60;66
45;61;87
52;60;70
49;60;74
52;60;72
52;60;71
52;60;70
52;60;72
52;60;70
53;60;71
53;60;63
50;60;71
51;60;86
51;60;71
49;60;71
57;60;64
49;60;71
51;60;70
52;60;70
54;60;68
52;60;71
50;60;70
52;60;72
51;60;82
50;60;72
53;60;62
52;60;71
52;60;70
52;60;71
53;60;70
53;60;70
49;60;82
52;60;71
53;60;79
52;60;71
53;60;71
52;60;71
53;60;70
50;60;70
52;60;71
52;60;71
50;60;73
54;60;66
47;61;85
54;60;70
52;60;72
53;60;72
52;60;71
53;60;69
52;60;67
53;60;71
45;60;83
50;60;71
52;60;71
51;60;71
51;60;72
51;60;74
52;60;66
52;60;71
52;60;70
49;60;87
52;60;70
50;60;72
52;60;72
53;60;70
54;60;69
52;60;71
53;60;71
53;60;70
