MIN;AVG;MAX
14;62;225
36;60;73
31;63;197
54;60;71
46;60;83
52;60;67
52;60;75
36;62;152
9;60;93
51;60;73
52;60;73
51;60;74
48;60;88
52;60;73
51;60;78
46;60;94
51;60;74
49;61;92
52;60;66
52;60;69
52;60;71
52;60;77
