MIN;AVG;MAX
37;60;90
52;60;76
55;60;70
34;62;188
52;60;75
47;60;91
53;60;67
47;60;76
51;60;73
50;60;90
43;61;96
54;60;90
52;60;70
53;60;76
54;60;69
53;60;67
55;60;68
55;60;68
51;60;74
55;60;69
49;60;74
54;60;68
33;63;235
55;60;68
45;60;74
51;60;67
